product_name,price,marketplace,search_term,link,scraped_at,clean_name,price_numeric,product_id
"Acer Aspire 14 2025 ( Intel Core 5 210H, 16GB RAM, 512GB SSD, 14Inch WUXGA IPS Display, Backlit Keyboard, Intel Graphics)","Rs 109,999",Hukut,laptop,https://hukut.com/acer-aspire-14-intel-core-5-210h-intel-graphics,2026-07-06 23:31:37,acer aspire 14 2025,109999.0,P0001
Acer Aspire Go 15 Core 3-N355 | 8GB RAM | 256GB SSD | 15.6 ” FHD | Win 11 Home | 1Years Warranty,"Rs. 71,270",Daraz,laptop,https://www.daraz.com.np/products/acer-aspire-go-15-core-3-n355-8gb-ram-256gb-ssd-156-fhd-win-11-home-1years-warranty-i511347976.html,,acer aspire go 15 core 3 n355 ram ssd 15 6 fhd win 11 home 1years,71270.0,P0002
Acer Aspire Lite 15 AL15-61P-R8DJ (AMD Ryzen 5 8640HS   | 16GB RAM | 512GB SSD | AMD Radeon™ Graphics | 15.6 inch Display | 1 Year Warranty),"Rs 104,999",Hukut,laptop,https://hukut.com/acer-aspire-lite-15-ryzen-5-8840hs-price-in-nepal,2026-07-06 23:31:37,acer aspire lite 15 al15 61p r8dj,104999.0,P0003
Acer Nitro V 16S AI 2025 ANV16S-71-7771 (Intel Core 7 240H | RTX 5060 Graphics),"Rs 239,999",Hukut,laptop,https://hukut.com/acer-nitro-v-16s-ai-2025-intel-core-7-240H-rtx-5060,2026-07-06 23:31:37,acer nitro v 16s ai 2025 anv16s 71 7771,239999.0,P0004
Acer Swift 16 AI Core Ultra 7 Series 2 256V | 16GB Memory | 1TB SSD | 16″ 3K OLED Touch Laptop | Copilot+ PC | Ice Black,"Rs. 167,777",Daraz,laptop,https://www.daraz.com.np/products/acer-swift-16-ai-core-ultra-7-series-2-256v-16gb-memory-1tb-ssd-16-3k-oled-touch-laptop-copilot-pc-ice-black-i1514731203.html,,acer swift 16 ai core ultra 7 series 2 256v memory ssd 16 3k oled touch laptop copilot pc ice black,167777.0,P0005
Acer Vero 16 | Intel Core Ultra 5 125U Processor | 8GB RAM | 512GB SSD | Intel Integrated Graphics | 16-inch FHD (1920 x 1200) Display,"Rs. 91,300",Daraz,laptop,https://www.daraz.com.np/products/acer-vero-16-intel-core-ultra-5-125u-processor-8gb-ram-512gb-ssd-intel-integrated-graphics-16-inch-fhd-1920-x-1200-display-i481779014.html,,acer vero 16 intel core ultra 5 125u processor ram ssd intel integrated graphics 16 inch fhd display,91300.0,P0006
"ADAM elements GRAVITY 10,000 mAh Fast Charging Power Bank with Built-In Cable",Rs 7500,Oliz,all-products,https://olizstore.com/products/adam-elements-gravity-10000-mah-30w-fast-charging-power-bank-with-built-in-cable,2026-07-06 23:32:37,adam elements gravity 10 000 mah fast charging power bank with built in cable,7500.0,P0007
"ADAM elements GRAVITY Pro 20,000 mAh Fast Charging Power Bank",Rs 13000,Oliz,all-products,https://olizstore.com/products/adam-elements-gravity-pro-100w-fast-charging-power-bank,2026-07-06 23:32:37,adam elements gravity pro 20 000 mah fast charging power bank,13000.0,P0008
ADAM elements VIONTA A5 4100 mAh Qi2 Solid-State Power Bank,Rs 8500,Oliz,all-products,https://olizstore.com/products/adam-elements-vionta-a5-4100-mah-qi2-solid-state-power-bank,2026-07-06 23:32:37,adam elements vionta a5 4100 mah qi2 solid state power bank,8500.0,P0009
"ADAM elements VIONTA B10 10,000 mAh Solid-State Power Bank with Foldable Stand",Rs 8500,Oliz,all-products,https://olizstore.com/products/adam-elements-vionta-b10-10000-mah-solid-state-power-bank-with-foldable-stand,2026-07-06 23:32:37,adam elements vionta b10 10 000 mah solid state power bank with foldable stand,8500.0,P0010
ADAM elements VIONTA B5 5000 mAh Solid-State Power Bank with Foldable Stand,Rs 8500,Oliz,all-products,https://olizstore.com/products/adam-elements-vionta-b5-5000-mah-solid-state-power-bank-with-foldable-stand,2026-07-06 23:32:37,adam elements vionta b5 5000 mah solid state power bank with foldable stand,8500.0,P0011
"ADAM elements VIONTA C2 Pro 10,000 mAh 8-in-1 Magnetic Power Bank",Rs 8000,Oliz,all-products,https://olizstore.com/products/adam-elements-vionta-c2-pro-10000-mah-8-in-1-magnetic-power-bank,2026-07-06 23:32:37,adam elements vionta c2 pro 10 000 mah 8 in 1 magnetic power bank,8000.0,P0012
ADAM elements VIONTA T1S 10000 mAh Travel Solid-State Power Bank with Built-In Cable,Rs 8800,Oliz,all-products,https://olizstore.com/products/adam-elements-vionta-t1s-10000mah-travel-solid-state-power-bank-with-built-in-cable,2026-07-06 23:32:37,adam elements vionta t1s 10000 mah travel solid state power bank with built in cable,8800.0,P0013
Anker PowerCore 5000 mAh Portable Power Bank,Rs 2500,Oliz,all-products,https://olizstore.com/products/anker-powercore-5000-portable-power-bank,2026-07-06 23:32:37,anker powercore 5000 mah portable power bank,2500.0,P0014
Anker Soundcore R60i NC,"Rs 5,499",Hukut,earphone,https://hukut.com/anker-soundcore-r60i-nc,2026-07-06 23:32:06,anker soundcore r60i nc,5499.0,P0015
