product_id,product_name,clean_name,best_store,best_price,highest_price,average_price,savings,stores_available,marketplaces,best_product_link
P0227,PITAKA × MÜNN Flora in Grid Edge Case (Cloud Dusk) for iPhone 17 Pro Max,pitaka m nn flora in grid edge case for iphone 17 pro max,Oliz,0,0,0,0,1,Oliz,https://olizstore.com/products/pitaka-munn-flora-in-grid-edge-case-(cloud-dusk)-for-iphone-17-pro-max
P0228,PITAKA Monogram Edge Case – Leaping for iPhone 17 Pro Max (Orange Black),pitaka monogram edge case leaping for iphone 17 pro max,Oliz,0,0,0,0,1,Oliz,https://olizstore.com/products/pitaka-monogram-edge-case-leaping-for-iphone-17-pro-max-(orange-black)
P0229,Pitaka Sunset 2.0 – California Dream 02 Edge Case for iPhone 17 Pro Max,pitaka sunset 2 0 california dream 02 edge case for iphone 17 pro max,Oliz,0,0,0,0,1,Oliz,https://olizstore.com/products/pitaka-sunset-2.0-california-dream-02-edge-case-for-iphone-17-pro-max
P0131,Hiroia Samantha Smart Brewer,hiroia samantha smart brewer,Oliz,0,0,0,0,1,Oliz,https://olizstore.com/products/hiroia-samantha-smart-brewer
P0129,Hiroia Hikaru Smart Brewer,hiroia hikaru smart brewer,Oliz,0,0,0,0,1,Oliz,https://olizstore.com/products/hiroia-hikaru-smart-brewer
P0130,Hiroia Jimmy Smart Coffee Scale,hiroia jimmy smart coffee scale,Oliz,0,0,0,0,1,Oliz,https://olizstore.com/products/hiroia-jimmy-smart-coffee-scale
P0127,Hiroia Edge Mini+ Grinder,hiroia edge mini grinder,Oliz,0,0,0,0,1,Oliz,https://olizstore.com/products/hiroia-edge-mini+-grinder
P0128,Hiroia GO 50 Titanium Grinder,hiroia go 50 titanium grinder,Oliz,0,0,0,0,1,Oliz,https://olizstore.com/products/hiroia-go-50-titanium-grinder
P0160,JBL STAGE 250WL 2-WAY DUAL 5.25 INCH IN-WALL LOUDSPEAKER,jbl stage 250wl 2 way dual 5 25 inch in wall loudspeaker,Oliz,0,0,0,0,1,Oliz,https://olizstore.com/products/jbl-stage-250wl-2-way-dual-5.25-inch-in-wall-loudspeaker
P0161,JBL STAGE 260C 2-WAY 6.5 INCH IN-CEILING LOUDSPEAKER,jbl stage 260c 2 way 6 5 inch in ceiling loudspeaker,Oliz,0,0,0,0,1,Oliz,https://olizstore.com/products/jbl-stage-260c-2-way-6.5-inch-in-ceiling-loudspeaker
P0132,Hiroia x Starseeker Edge Titanium Grinder,hiroia x starseeker edge titanium grinder,Oliz,0,0,0,0,1,Oliz,https://olizstore.com/products/hiroia-x-starseeker-edge-titanium-grinder
P0185,K\u0026F Concept KF31.143 Sports Camera Pocket 3 Magnetic Suction Cup Mount,k u0026f concept kf31 143 sports camera pocket 3 magnetic suction cup mount,Oliz,0,0,0,0,1,Oliz,https://olizstore.com/products/kandf-concept-kf31.143-sports-camera-pocket-3-magnetic-suction-cup-mount
P0162,JBL STAGE 280W 2-WAY 8 INCH WOOFER IN-WALL LOUDSPEAKER,jbl stage 280w 2 way 8 inch woofer in wall loudspeaker,Oliz,0,0,0,0,1,Oliz,https://olizstore.com/products/jbl-stage-280w-2-way-8-inch-woofer-in-wall-loudspeaker
P0220,OB-Tel Smart Together Earphone,ob tel smart together earphone,Daraz,42,42,42,0,1,Daraz,https://www.daraz.com.np/products/ob-tel-smart-together-earphone-i125629565.html
P0307,WEKOME YB06 Kinkong Series Wired Earphones | Type‑C/3.5mm/Lightning | 10 mm Rich Sound,wekome yb06 kinkong series wired earphones type c 3 5mm lightning 10 mm rich sound,Daraz,175,175,175,0,1,Daraz,https://www.daraz.com.np/products/wekome-yb06-kinkong-series-wired-earphones-typec35mmlightning-10mm-rich-sound-i511139471.html
P0105,Earphone With Mic,earphone with mic,Daraz,189,189,189,0,1,Daraz,https://www.daraz.com.np/products/earphone-with-mic-i101108192.html
P0106,Earphone With Mic For Android & Smartphones,earphone with mic for android smartphones,Daraz,189,189,189,0,1,Daraz,https://www.daraz.com.np/products/earphone-with-mic-for-android-smartphones-i443216.html
