product_name,price,marketplace,search_term,link
Apple iPhone 16 | 6.1 inch Super Retina XDR OLED Display | A18 chip | Advanced Dual-Camera System,"Rs. 146,599",Daraz,iphone 16,https://www.daraz.com.np/products/apple-iphone-16-61-inch-super-retina-xdr-oled-display-a18-chip-advanced-dual-camera-system-i164895794.html
For iPhone 17 16 Pro Max 15 14 13 12 11 Xs X 8 7 6 5s 16e Air Mini Clear Phone Cover Mobile Case - Edge Soft Bumper Transparent Anti Shock TPU Mobile Cover Case,Rs. 144,Daraz,iphone 16,https://www.daraz.com.np/products/for-iphone-17-16-pro-max-15-14-13-12-11-xs-x-8-7-6-5s-16e-air-mini-clear-phone-cover-mobile-case-edge-soft-bumper-transparent-anti-shock-tpu-mobile-cover-case-i117652003.html
Apple iPhone 16 (14.7cm) & 16 Plus (16.1cm) Liquid Silicone Soft Cover Case | Microfiber Inside,Rs. 335,Daraz,iphone 16,https://www.daraz.com.np/products/apple-iphone-16-147cm-16-plus-161cm-liquid-silicone-soft-cover-case-microfiber-inside-i174174881.html
1-4Pcs Privacy Screen Protector for iPhone 14 13 12 11 15  17 Pro Max Mini 7 8 Plus Anti-spy Glass for IPhone 16 PRO X XR XS MAX,Rs. 500,Daraz,iphone 16,https://www.daraz.com.np/products/1-4pcs-privacy-screen-protector-for-iphone-14-13-12-11-15-17-pro-max-mini-7-8-plus-anti-spy-glass-for-iphone-16-pro-x-xr-xs-max-i478760123.html
Armor Magnetic Bracket Case for iPhone 16 14 13 12 11 15 Pro Max Plus With Lanyard Slide Camera Protection Shockproof Cover,"Rs. 1,604",Daraz,iphone 16,https://www.daraz.com.np/products/armor-magnetic-bracket-case-for-iphone-16-14-13-12-11-15-pro-max-plus-with-lanyard-slide-camera-protection-shockproof-cover-i480959407.html
【 Ready Stock+Fast Delivery 】Chinese Style Artistic Pattern Phone Case Suitable For iPhone 17 16 15 14 13 12 11 Pro Max 7 8 14 15 16 Plus 17 Air 12 13 Mini X Xr Xs Max IMD Matte Cover,Rs. 549,Daraz,iphone 16,https://www.daraz.com.np/products/ready-stockfast-delivery-chinese-style-artistic-pattern-phone-case-suitable-for-iphone-17-16-15-14-13-12-11-pro-max-7-8-14-15-16-plus-17-air-12-13-mini-x-xr-xs-max-imd-matte-cover-i499043794.html
Magsafe Magnetic Double Kickstand Stand Case For iPhone 16 15 14 13 12 11 Series Transparent Metal Wireless Charge Ring Cover with Free Lens Protector,Rs. 699,Daraz,iphone 16,https://www.daraz.com.np/products/iphone-161514131211-magsafe-i411710098.html
【 Ready Stock+Fast Delivery 】Cartoon Spider Man Phone Case Suitable For iPhone 17 Air 16 15 14 13 12 11 Pro Max 6 6s 7 8 14 15 16 Plus X Xr Xs Max SE2020 2022 Silicone Cover,Rs. 529,Daraz,iphone 16,https://www.daraz.com.np/products/ready-stockfast-delivery-cartoon-spider-man-phone-case-suitable-for-iphone-17-air-16-15-14-13-12-11-pro-max-6-6s-7-8-14-15-16-plus-x-xr-xs-max-se2020-2022-silicone-cover-i501466939.html
HOCE Invisible Bracket with Lens Film Magnetic Phone Case For iPhone 17 16 15 14 13 12 Pro Max 15 Plus 11 Magsafe Case Lens Kickstand Clear TPU Protector Cover,Rs. 858,Daraz,iphone 16,https://www.daraz.com.np/products/hoce-invisible-bracket-with-lens-film-magnetic-phone-case-for-iphone-17-16-15-14-13-12-pro-max-15-plus-11-magsafe-case-lens-kickstand-clear-tpu-protector-cover-i151870326.html
Fashion Color Keep Smile Lovely 3D DIY Doll Cat Case Compatible for IPhone Air 17 16 15 11 14 12 13 Pro Max XR 16 14 15 Plus XSX Max Cartoon Kitten Metal Lens Frame Leather Texture Case,Rs. 881,Daraz,iphone 16,https://www.daraz.com.np/products/fashion-color-keep-smile-lovely-3d-diy-doll-cat-case-compatible-for-iphone-air-17-16-15-11-14-12-13-pro-max-xr-16-14-15-plus-xsx-max-cartoon-kitten-metal-lens-frame-leather-texture-case-i175179768.html
