product_name,price,marketplace,search_term,link,scraped_at
Xiaomi 17 Ultra,"Rs 199,999",Hukut,smartphone,https://hukut.com/xiaomi-17-ultra,2026-07-06 23:31:22
vivo V70,"Rs 84,999",Hukut,smartphone,https://hukut.com/vivo-v70,2026-07-06 23:31:22
Samsung Galaxy A57,"Rs 79,999",Hukut,smartphone,https://hukut.com/samsung-galaxy-a57,2026-07-06 23:31:22
Nothing Phone (4a),"Rs 71,999",Hukut,smartphone,https://hukut.com/nothing-phone-(4a),2026-07-06 23:31:22
Honor X8d,"Rs 39,999",Hukut,smartphone,https://hukut.com/honor-x8d,2026-07-06 23:31:22
Redmi Note 15 Pro,"Rs 53,999",Hukut,smartphone,https://hukut.com/redmi-note-15-pro,2026-07-06 23:31:22
Apple iPhone 17 Pro Max,"Rs 242,999",Hukut,smartphone,https://hukut.com/apple-iphone-17-pro-max,2026-07-06 23:31:22
OnePlus Nord CE 5,,Hukut,smartphone,https://hukut.com/oneplus-nord-ce-5,2026-07-06 23:31:22
OnePlus 15R,,Hukut,smartphone,https://hukut.com/oneplus-15r,2026-07-06 23:31:22
Apple iPhone 15,,Hukut,smartphone,https://hukut.com/iphone-15-price-in-nepal,2026-07-06 23:31:23
Honor X8b,,Hukut,smartphone,https://hukut.com/honor-x8b-price-in-nepal,2026-07-06 23:31:23
Infinix Hot 60 Pro+,,Hukut,smartphone,https://hukut.com/infinix-hot-60-pro+,2026-07-06 23:31:23
Xiaomi Redmi A7,"Rs 16,999",Hukut,smartphone,https://hukut.com/xiaomi-redmi-a7,2026-07-06 23:31:23
Xiaomi Redmi A5 4G,"Rs 16,999",Hukut,smartphone,https://hukut.com/redmi-a5-4g,2026-07-06 23:31:23
Xiaomi Redmi A7 Pro,"Rs 17,999",Hukut,smartphone,https://hukut.com/xiaomi-redmi-a7-pro,2026-07-06 23:31:23
Samsung Galaxy A07 4G,"Rs 18,999",Hukut,smartphone,https://hukut.com/samsung-galaxy-a07-4g,2026-07-06 23:31:23
Redmi 15C 4G,"Rs 19,999",Hukut,smartphone,https://hukut.com/redmi-15c-4g,2026-07-06 23:31:23
Honor X5c,"Rs 20,499",Hukut,smartphone,https://hukut.com/honor-x5c,2026-07-06 23:31:23
Infinix Smart 20,"Rs 21,999",Hukut,smartphone,https://hukut.com/infinix-smart-20,2026-07-06 23:31:23
vivo Y05,"Rs 21,999",Hukut,smartphone,https://hukut.com/vivo-y05,2026-07-06 23:31:23
Acer Aspire Lite 15 AL15-61P-R8DJ (AMD Ryzen 5 8640HS   | 16GB RAM | 512GB SSD | AMD Radeon™ Graphics | 15.6 inch Display | 1 Year Warranty),"Rs 104,999",Hukut,laptop,https://hukut.com/acer-aspire-lite-15-ryzen-5-8840hs-price-in-nepal,2026-07-06 23:31:37
Acer Nitro V 16S AI 2025 ANV16S-71-7771 (Intel Core 7 240H | RTX 5060 Graphics),"Rs 239,999",Hukut,laptop,https://hukut.com/acer-nitro-v-16s-ai-2025-intel-core-7-240H-rtx-5060,2026-07-06 23:31:37
Dell 15 DC15250 (Intel Core i5-1334U | Intel UHD Graphics),"Rs 94,999",Hukut,laptop,https://hukut.com/dell-15-dc-15250-intel-i5-13th-gen-intel-uhd-graphics,2026-07-06 23:31:37
Apple MacBook Neo 2026 (Apple A18 Pro),"Rs 130,000",Hukut,laptop,https://hukut.com/apple-macbook-neo-2026,2026-07-06 23:31:37
Lenovo IdeaPad 1 2025 15AMN7 (AMD Ryzen 5 7520U Radeon 610M Graphics 16GB 512GB SSD),"Rs 93,999",Hukut,laptop,https://hukut.com/lenovo-ideapad-1-15amn7-2025-amd-ryzen-5-7520u-16gb-512gb-15-6-inch-laptop,2026-07-06 23:31:37
"Acer Aspire 14 2025 ( Intel Core 5 210H, 16GB RAM, 512GB SSD, 14Inch WUXGA IPS Display, Backlit Keyboard, Intel Graphics)","Rs 109,999",Hukut,laptop,https://hukut.com/acer-aspire-14-intel-core-5-210h-intel-graphics,2026-07-06 23:31:37
Lenovo IdeaPad Slim 3i 2025 (13th Gen Intel Core i5-13420H | Intel UHD Graphics),"Rs 114,999",Hukut,laptop,https://hukut.com/lenovo-ideapad-slim-3-i5-13420h,2026-07-06 23:31:37
ASUS Zenbook 14 2025 UX3405CA  (Intel Core Ultra 7 255H | Intel Arc Graphics),,Hukut,laptop,https://hukut.com/asus-zenbook-14-2025-core-ultra-7-255h-arc,2026-07-06 23:31:37
Acer Aspire Lite 16 54P-586N (13th Gen Intel Core i5-1334U | Intel UHD Graphics),,Hukut,laptop,https://hukut.com/acer-aspire-lite-intel-core-i5-1334u,2026-07-06 23:31:37
Apple MacBook Pro M5 Pro 14 inch,,Hukut,laptop,https://hukut.com/apple-macbook-pro-m5-pro-14,2026-07-06 23:31:38
Acer Aspire Lite 15 AL15-33P-3809 (Intel Core 3 N355 | Intel UHD Graphics),,Hukut,laptop,https://hukut.com/acer-aspire-lite-15-core-3-n355-uhd,2026-07-06 23:31:38
Apple MacBook Pro M5 14 inch,,Hukut,laptop,https://hukut.com/apple-macbook-pro-m5-14,2026-07-06 23:31:38
Lenovo V14 G5 2025 (13th Gen Intel Core i3-1315U | Intel UHD Graphics),"Rs 71,999",Hukut,laptop,https://hukut.com/lenovo-v14-g5-2025-intel-i3-1315u-uhd-graphics,2026-07-06 23:31:38
"ASUS Vivobook Go 15 E1504FA (Ryzen 3 30, AMD Radeon Graphics)","Rs 78,999",Hukut,laptop,https://hukut.com/asus-vivobook-go-15-ryzen-3-30-amd-radeon-graphics,2026-07-06 23:31:38
Dell Pro 15 Essential (AMD Ryzen 5 7520U | AMD Radeon Graphics),"Rs 83,998",Hukut,laptop,https://hukut.com/dell-pro-15-essential-ryzen-5-7520u-radeon,2026-07-06 23:31:38
Lenovo IdeaPad Slim 3 2023 (AMD Ryzen 5 7520U | AMD Radeon 610M Graphics),"Rs 84,999",Hukut,laptop,https://hukut.com/lenovo-ideapad-slim-3-2023-ryzen-5-7520u,2026-07-06 23:31:38
Asus VivoBook 14 2024 X1404V (Intel Core 5-120U | Intel UHD Graphics),"Rs 85,999",Hukut,laptop,https://hukut.com/asus-vivobook-15-2024-x1404v-core-5-120u,2026-07-06 23:31:38
Lenovo ThinkCentre Neo 50T 2025 (13th Gen Intel Core i3-13100 | Intel UHD Graphics),"Rs 93,999",Hukut,laptop,https://hukut.com/lenovo-thinkcentre-neo-50t-2025-13th-gen-core-i3-13100-intel-uhd,2026-07-06 23:31:38
ASUS VivoBook Go 14 2025 E1404FA-EB1226W (AMD Ryzen 5 40 | AMD Radeon Graphics),"Rs 95,999",Hukut,laptop,https://hukut.com/asus-vivobook-go-14-2025-ryzen-5-40-radeon,2026-07-06 23:31:38
Lenovo V14 G4 2025 G4 AMN (AMD Ryzen 5 7520U | AMD Radeon 610M Graphics),"Rs 96,999",Hukut,laptop,https://hukut.com/lenovo-v14-g4-2025-ryzen-5-7520u-radeon-610m,2026-07-06 23:31:38
Xiaomi Redmi Watch 5 Active,"Rs 5,999",Hukut,smartwatch,https://hukut.com/redmi-watch-5-active,2026-07-06 23:31:51
Xiaomi Redmi Watch 5 Lite,"Rs 9,999",Hukut,smartwatch,https://hukut.com/redmi-watch-5-lite,2026-07-06 23:31:51
Samsung Galaxy Watch 8 Classic,"Rs 82,999",Hukut,smartwatch,https://hukut.com/samsung-galaxy-watch-8-classic,2026-07-06 23:31:51
HiFuture AURA 2,"Rs 10,499",Hukut,smartwatch,https://hukut.com/hifuture-aura-2,2026-07-06 23:31:51
Huawei Watch GT 6 Pro,"Rs 54,489",Hukut,smartwatch,https://hukut.com/huawei-watch-gt-6-pro,2026-07-06 23:31:52
Kick Phantom Watch Ultra,"Rs 2,999",Hukut,smartwatch,https://hukut.com/kick-phantom-watch-ultra,2026-07-06 23:31:52
CMF Watch Pro 3,"Rs 13,999",Hukut,smartwatch,https://hukut.com/cmf-watch-3-pro,2026-07-06 23:31:52
Zeblaze GTS 4,,Hukut,smartwatch,https://hukut.com/zeblaze-gts-4,2026-07-06 23:31:52
Ultima Watch Navigator,,Hukut,smartwatch,https://hukut.com/ultima-watch-navigator,2026-07-06 23:31:52
Huawei Band 10,,Hukut,smartwatch,https://hukut.com/huawei-band-10,2026-07-06 23:31:52
Zeblaze Ares 3 Plus Smartwatch,"Rs 4,500",Hukut,smartwatch,https://hukut.com/zeblaze-ares-3-plus-price-in-nepal,2026-07-06 23:31:52
Zeblaze LILY 2,"Rs 4,999",Hukut,smartwatch,https://hukut.com/zeblaze-lily-2,2026-07-06 23:31:52
HiFuture Fit Zone2,"Rs 5,199",Hukut,smartwatch,https://hukut.com/hifuture-fit-zone-2,2026-07-06 23:31:52
HiFuture LUME,"Rs 5,199",Hukut,smartwatch,https://hukut.com/hifuture-lume,2026-07-06 23:31:52
Zeblaze Beyond 3 Pro,"Rs 5,890",Hukut,smartwatch,https://hukut.com/zeblaze-beyond-3-pro-price-in-nepal,2026-07-06 23:31:52
Zeblaze Ares GPS,"Rs 5,890",Hukut,smartwatch,https://hukut.com/zeblaze-ares-gps-price-in-nepal,2026-07-06 23:31:53
Oraimo Watch 5R,"Rs 5,999",Hukut,smartwatch,https://hukut.com/oraimo-watch-5r,2026-07-06 23:31:53
HiFuture Ultra 3 Smart Watch,"Rs 5,999",Hukut,smartwatch,https://hukut.com/hifuture-ultra-3-smart-watch-price-in-nepal,2026-07-06 23:31:53
Zeblaze BTALK 3 GPS,"Rs 5,999",Hukut,smartwatch,https://hukut.com/zeblaze-btalk-3-gps,2026-07-06 23:31:53
Hifuture LUME PRO,"Rs 6,499",Hukut,smartwatch,https://hukut.com/hifuture-lume-pro,2026-07-06 23:31:53
Ultima Prime 1.0,"Rs 2,699",Hukut,earphone,https://hukut.com/ultima-prime-1.0-price-in-nepal,2026-07-06 23:32:06
Oraimo SpaceBuds Neo+ Earbuds,"Rs 3,399",Hukut,earphone,https://hukut.com/oraimo-spacebuds-neo-plus-earbuds,2026-07-06 23:32:06
